1.,Forest 
1.1.,Forest – Boreal 
1.2.,Forest – Subarctic 
1.3.,Forest – Subantarctic 
1.4.,Forest – Temperate 
1.5.,Forest – Subtropical/tropical dry 
1.6.,Forest – Subtropical/tropical moist lowland 
1.7.,Forest – Subtropical/tropical mangrove vegetation above high tide level 
1.8.,Forest – Subtropical/tropical swamp 
1.9.,Forest – Subtropical/tropical moist montane 
  ,
2.,Savanna 
2.1.,Savanna – Dry 
2.2.,Savanna – Moist 
  ,
3.,Shrubland 
3.1.,Shrubland – Subarctic 
3.2.,Shrubland – Subantarctic 
3.3.,Shrubland – Boreal 
3.4.,Shrubland – Temperate 
3.5.,Shrubland – Subtropical/tropical dry 
3.6.,Shrubland – Subtropical/tropical moist 
3.7.,Shrubland – Subtropical/tropical high altitude 
3.8.,Shrubland – Mediterranean–type shrubby vegetation 
  ,
4.,Grassland 
4.1.,Grassland – Tundra 
4.2.,Grassland – Subarctic 
4.3.,Grassland – Subantarctic 
4.4.,Grassland – Temperate 
4.5.,Grassland – Subtropical/tropical dry 
4.6.,Grassland – Subtropical/tropical seasonally wet/flooded 
4.7.,Grassland – Subtropical/tropical high altitude 
  ,
5.,Wetlands (inland) 
5.1.,Wetlands (inland) – Permanent rivers/streams/creeks (includes waterfalls) 
5.2.,Wetlands (inland) – Seasonal/intermittent/irregular rivers/streams/creeks 
5.3.,Wetlands (inland) – Shrub dominated wetlands 
5.4.,"Wetlands (inland) – Bogs, marshes, swamps, fens, peatlands "
5.5.,Wetlands (inland) – Permanent freshwater lakes (over 8 ha) 
5.6.,Wetlands (inland) – Seasonal/intermittent freshwater lakes (over 8 ha) 
5.7.,Wetlands (inland) – Permanent freshwater marshes/pools (under 8 ha) 
5.8.,Wetlands (inland) – Seasonal/intermittent freshwater marshes/pools (under 8 ha) 
5.9.,Wetlands (inland) – Freshwater springs and oases 
5.10.,Wetlands (inland) – Tundra wetlands (inc. pools and temporary waters from snowmelt) 
